state,county,fips,year,office,party,candidate,candidatevotes_sum
Alabama,Greene,01063,2000,President,democrat,Al Gore,3504
Alabama,Greene,01063,2000,President,republican,George W. Bush,850
Alabama,Greene,01063,2004,President,democrat,John Kerry,3764
Alabama,Greene,01063,2004,President,republican,George W. Bush,958
Alabama,Greene,01063,2008,President,democrat,Barack Obama,4408
Alabama,Greene,01063,2008,President,republican,John McCain,876
Alabama,Greene,01063,2012,President,democrat,Barack Obama,4521
Alabama,Greene,01063,2012,President,republican,Mitt Romney,804
Alabama,Greene,01063,2016,President,democrat,Hillary Clinton,4013
Alabama,Greene,01063,2016,President,republican,Donald Trump,838
Alabama,Hale,01065,2000,President,democrat,Al Gore,4652
Alabama,Hale,01065,2000,President,republican,George W. Bush,2984
Alabama,Hale,01065,2004,President,democrat,John Kerry,4631
Alabama,Hale,01065,2004,President,republican,George W. Bush,3281
Alabama,Hale,01065,2008,President,democrat,Barack Obama,4982
Alabama,Hale,01065,2008,President,republican,John McCain,3200
Alabama,Hale,01065,2012,President,democrat,Barack Obama,5411
Alabama,Hale,01065,2012,President,republican,Mitt Romney,3210
Alabama,Hale,01065,2016,President,democrat,Hillary Clinton,4775
Alabama,Hale,01065,2016,President,republican,Donald Trump,3173
Alabama,Henry,01067,2000,President,democrat,Al Gore,2782
Alabama,Henry,01067,2000,President,republican,George W. Bush,4054
Alabama,Henry,01067,2004,President,democrat,John Kerry,2452
Alabama,Henry,01067,2004,President,republican,George W. Bush,4881
Alabama,Henry,01067,2008,President,democrat,Barack Obama,3018
Alabama,Henry,01067,2008,President,republican,John McCain,5585
Alabama,Henry,01067,2012,President,democrat,Barack Obama,3083
Alabama,Henry,01067,2012,President,republican,Mitt Romney,5628
Alabama,Henry,01067,2016,President,democrat,Hillary Clinton,2292
Alabama,Henry,01067,2016,President,republican,Donald Trump,5632
Alabama,Houston,01069,2000,President,democrat,Al Gore,9412
Alabama,Houston,01069,2000,President,republican,George W. Bush,22150
Alabama,Houston,01069,2004,President,democrat,John Kerry,9144
Alabama,Houston,01069,2004,President,republican,George W. Bush,26874
